Country,Year,Age,Sex,N_of_people_convicted,Mid_year_population_estimate
SCO,1999,72,Male,5,17665
SCO,1999,73,Male,7,17380
SCO,1999,74,Male,7,15939
SCO,1999,75,Male,0,15018
SCO,1999,76,Male,4,13526
SCO,1999,77,Male,1,13510
SCO,1999,78,Male,1,12603
SCO,1999,79,Male,0,12046
SCO,1999,80,Male,0,7590
SCO,1999,81,Male,1,6457
SCO,1999,82,Male,2,6306
SCO,1999,83,Male,2,5771
SCO,1999,84,Male,0,5433
SCO,1999,85,Male,1,4670
SCO,1999,86,Male,0,3951
SCO,1999,87,Male,0,3178
SCO,1999,88,Male,0,2568
SCO,1999,89,Male,0,2112
SCO,1999,90 & over,Male,1,5524
SCO,2000,16,Male,1970,31446
SCO,2000,17,Male,2301,31020
SCO,2000,18,Male,2412,31210
SCO,2000,19,Male,2424,33888
SCO,2000,20,Male,2113,33788
SCO,2000,21,Male,1821,32554
SCO,2000,22,Male,1642,29510
SCO,2000,23,Male,1425,28394
SCO,2000,24,Male,1439,29734
SCO,2000,25,Male,1314,29327
SCO,2000,26,Male,1289,29822
SCO,2000,27,Male,1256,31970
SCO,2000,28,Male,1210,33555
SCO,2000,29,Male,1147,35650
SCO,2000,30,Male,1095,35482
SCO,2000,31,Male,1060,37070
SCO,2000,32,Male,994,37713
SCO,2000,33,Male,969,38992
SCO,2000,34,Male,852,37886
SCO,2000,35,Male,851,39611
SCO,2000,36,Male,812,39184
SCO,2000,37,Male,687,39098
SCO,2000,38,Male,692,39138
SCO,2000,39,Male,584,38296
SCO,2000,40,Male,534,37638
SCO,2000,41,Male,475,37030
SCO,2000,42,Male,428,36315
SCO,2000,43,Male,385,35528
SCO,2000,44,Male,337,35164
SCO,2000,45,Male,298,33701
SCO,2000,46,Male,230,33553
SCO,2000,47,Male,248,33004
SCO,2000,48,Male,196,31896
SCO,2000,49,Male,206,32735
SCO,2000,50,Male,156,33267
SCO,2000,51,Male,177,34357
SCO,2000,52,Male,160,35518
SCO,2000,53,Male,160,38512
SCO,2000,54,Male,120,29925
SCO,2000,55,Male,101,28594
SCO,2000,56,Male,92,29392
SCO,2000,57,Male,82,28445
SCO,2000,58,Male,75,26426
SCO,2000,59,Male,72,24915
SCO,2000,60,Male,60,25812
SCO,2000,61,Male,39,25581
SCO,2000,62,Male,39,25534
SCO,2000,63,Male,38,24342
SCO,2000,64,Male,27,24061
SCO,2000,65,Male,20,23323
SCO,2000,66,Male,30,22360
SCO,2000,67,Male,23,21538
SCO,2000,68,Male,18,21432
SCO,2000,69,Male,20,20755
SCO,2000,70,Male,8,19787
SCO,2000,71,Male,9,19029
SCO,2000,72,Male,5,17598
SCO,2000,73,Male,3,16814
SCO,2000,74,Male,2,16428
SCO,2000,75,Male,5,15033
SCO,2000,76,Male,0,14126
SCO,2000,77,Male,3,12594
SCO,2000,78,Male,1,12428
SCO,2000,79,Male,2,11650
SCO,2000,80,Male,2,11046
SCO,2000,81,Male,0,6870
SCO,2000,82,Male,0,5769
SCO,2000,83,Male,1,5588
SCO,2000,84,Male,0,5021
SCO,2000,85,Male,0,4726
SCO,2000,86,Male,0,4000
SCO,2000,87,Male,1,3316
SCO,2000,88,Male,0,2568
SCO,2000,89,Male,0,2086
SCO,2000,90 & over,Male,1,5944
SCO,2001,16,Male,2116,33268
SCO,2001,17,Male,2308,31514
SCO,2001,18,Male,2500,30950
SCO,2001,19,Male,2375,31984
SCO,2001,20,Male,2284,34395
SCO,2001,21,Male,1963,34058
SCO,2001,22,Male,1841,32430
SCO,2001,23,Male,1579,29015
SCO,2001,24,Male,1440,27811
SCO,2001,25,Male,1330,29307
SCO,2001,26,Male,1316,28969
SCO,2001,27,Male,1213,29749
SCO,2001,28,Male,1177,31758
SCO,2001,29,Male,1225,33338
SCO,2001,30,Male,1117,35438
SCO,2001,31,Male,1090,35372
SCO,2001,32,Male,1024,36882
SCO,2001,33,Male,1007,37511
SCO,2001,34,Male,893,38979
SCO,2001,35,Male,868,37826
SCO,2001,36,Male,792,39511
SCO,2001,37,Male,743,39122
SCO,2001,38,Male,726,39110
SCO,2001,39,Male,610,39121
SCO,2001,40,Male,613,38174
SCO,2001,41,Male,545,37491
SCO,2001,42,Male,447,36990
SCO,2001,43,Male,401,36308
SCO,2001,44,Male,352,35595
SCO,2001,45,Male,361,35049
SCO,2001,46,Male,295,33712
SCO,2001,47,Male,237,33537
SCO,2001,48,Male,252,33003
SCO,2001,49,Male,221,31924
SCO,2001,50,Male,188,32664
SCO,2001,51,Male,173,33168
SCO,2001,52,Male,187,34264
SCO,2001,53,Male,151,35413
SCO,2001,54,Male,155,38429
SCO,2001,55,Male,128,29821
SCO,2001,56,Male,87,28429
SCO,2001,57,Male,67,29258
SCO,2001,58,Male,73,28241
SCO,2001,59,Male,62,26230
SCO,2001,60,Male,70,24634
SCO,2001,61,Male,60,25596
SCO,2001,62,Male,49,25280
SCO,2001,63,Male,34,25136
SCO,2001,64,Male,30,23976
SCO,2001,65,Male,27,23651
SCO,2001,66,Male,29,22881
SCO,2001,67,Male,24,21881
SCO,2001,68,Male,17,21010
SCO,2001,69,Male,13,20832
SCO,2001,70,Male,16,20080
SCO,2001,71,Male,3,19104
SCO,2001,72,Male,8,18246
SCO,2001,73,Male,7,16801
SCO,2001,74,Male,6,16009
SCO,2001,75,Male,3,15621
SCO,2001,76,Male,6,14176
SCO,2001,77,Male,4,13250
SCO,2001,78,Male,2,11694
SCO,2001,79,Male,2,11453
SCO,2001,80,Male,1,10662
SCO,2001,81,Male,2,10060
SCO,2001,82,Male,2,6242
SCO,2001,83,Male,0,5104
SCO,2001,84,Male,1,4905
SCO,2001,85,Male,0,4334
SCO,2001,86,Male,0,4077
SCO,2001,87,Male,0,3381
SCO,2001,88,Male,0,2778
SCO,2001,89,Male,0,2111
SCO,2001,90 & over,Male,1,6367
SCO,2002,16,Male,2262,33204
SCO,2002,17,Male,2354,32872
SCO,2002,18,Male,2392,31093
SCO,2002,19,Male,2359,31522
SCO,2002,20,Male,2257,32389
SCO,2002,21,Male,2146,34407
SCO,2002,22,Male,1962,33998
SCO,2002,23,Male,1859,32056
SCO,2002,24,Male,1564,28731
SCO,2002,25,Male,1409,27889
SCO,2002,26,Male,1450,29243
SCO,2002,27,Male,1370,29063
SCO,2002,28,Male,1304,29782
SCO,2002,29,Male,1217,31702
SCO,2002,30,Male,1171,33322
SCO,2002,31,Male,1230,35345
SCO,2002,32,Male,1146,35299
SCO,2002,33,Male,1068,36749
SCO,2002,34,Male,1012,37253
SCO,2002,35,Male,962,38767
SCO,2002,36,Male,901,37754
SCO,2002,37,Male,900,39424
SCO,2002,38,Male,798,38998
SCO,2002,39,Male,747,39035
SCO,2002,40,Male,656,39230
SCO,2002,41,Male,579,38287
SCO,2002,42,Male,560,37531
SCO,2002,43,Male,448,37064
SCO,2002,44,Male,432,36280
SCO,2002,45,Male,351,35591
SCO,2002,46,Male,314,35008
SCO,2002,47,Male,286,33655
SCO,2002,48,Male,245,33540
SCO,2002,49,Male,230,32949
SCO,2002,50,Male,206,31866
SCO,2002,51,Male,197,32618
SCO,2002,52,Male,154,33063
SCO,2002,53,Male,169,34176
SCO,2002,54,Male,170,35257
SCO,2002,55,Male,150,38258
SCO,2002,56,Male,108,29629
SCO,2002,57,Male,103,28252
SCO,2002,58,Male,100,29062
SCO,2002,59,Male,69,27954
SCO,2002,60,Male,60,25977
SCO,2002,61,Male,51,24335
SCO,2002,62,Male,60,25226
SCO,2002,63,Male,44,24912
SCO,2002,64,Male,34,24696
SCO,2002,65,Male,31,23561
SCO,2002,66,Male,28,23137
SCO,2002,67,Male,23,22340
SCO,2002,68,Male,28,21335
SCO,2002,69,Male,22,20433
SCO,2002,70,Male,12,20189
SCO,2002,71,Male,10,19385
SCO,2002,72,Male,4,18367
SCO,2002,73,Male,4,17444
SCO,2002,74,Male,6,15945
SCO,2002,75,Male,2,15152
SCO,2002,76,Male,1,14726
SCO,2002,77,Male,4,13258
SCO,2002,78,Male,1,12361
SCO,2002,79,Male,1,10787
SCO,2002,80,Male,1,10496
SCO,2002,81,Male,1,10120
SCO,2002,82,Male,0,9245
SCO,2002,83,Male,0,5604
SCO,2002,84,Male,1,4679
SCO,2002,85,Male,0,4449
SCO,2002,86,Male,0,3810
SCO,2002,87,Male,0,3497
SCO,2002,88,Male,0,2834
SCO,2002,89,Male,0,2303
SCO,2002,90 & over,Male,1,5536
SCO,2003,16,Male,2216,32735
SCO,2003,17,Male,2485,32888
SCO,2003,18,Male,2452,32447
SCO,2003,19,Male,2227,31634
SCO,2003,20,Male,2088,31979
SCO,2003,21,Male,2083,32708
SCO,2003,22,Male,1884,34407
SCO,2003,23,Male,1801,33461
SCO,2003,24,Male,1653,31654
SCO,2003,25,Male,1457,28496
SCO,2003,26,Male,1297,27604
SCO,2003,27,Male,1291,29234
SCO,2003,28,Male,1216,29009
SCO,2003,29,Male,1208,29722
SCO,2003,30,Male,1170,31726
SCO,2003,31,Male,1132,33421
SCO,2003,32,Male,1177,35322
SCO,2003,33,Male,1109,35334
SCO,2003,34,Male,1039,36793
SCO,2003,35,Male,993,37379
SCO,2003,36,Male,927,38850
SCO,2003,37,Male,831,37892
SCO,2003,38,Male,776,39631
SCO,2003,39,Male,764,39144
SCO,2003,40,Male,742,39173
SCO,2003,41,Male,626,39259
SCO,2003,42,Male,564,38236
SCO,2003,43,Male,534,37532
SCO,2003,44,Male,466,37055
SCO,2003,45,Male,445,36251
SCO,2003,46,Male,349,35542
SCO,2003,47,Male,300,34981
SCO,2003,48,Male,244,33537
SCO,2003,49,Male,242,33412
SCO,2003,50,Male,227,32855
SCO,2003,51,Male,172,31743
SCO,2003,52,Male,196,32468
SCO,2003,53,Male,163,32921
SCO,2003,54,Male,130,34055
SCO,2003,55,Male,145,35117
SCO,2003,56,Male,119,38071
SCO,2003,57,Male,103,29491
SCO,2003,58,Male,64,28024
SCO,2003,59,Male,63,28868
SCO,2003,60,Male,57,27667
SCO,2003,61,Male,46,25671
SCO,2003,62,Male,44,24017
SCO,2003,63,Male,50,24825
SCO,2003,64,Male,38,24522
SCO,2003,65,Male,34,24246
SCO,2003,66,Male,28,23086
SCO,2003,67,Male,23,22604
SCO,2003,68,Male,22,21829
SCO,2003,69,Male,17,20714
SCO,2003,70,Male,11,19836
SCO,2003,71,Male,5,19549
SCO,2003,72,Male,3,18649
SCO,2003,73,Male,10,17594
SCO,2003,74,Male,5,16592
SCO,2003,75,Male,7,15066
SCO,2003,76,Male,2,14307
SCO,2003,77,Male,5,13774
SCO,2003,78,Male,2,12378
SCO,2003,79,Male,0,11454
SCO,2003,80,Male,0,9843
SCO,2003,81,Male,0,9515
SCO,2003,82,Male,2,9138
SCO,2003,83,Male,2,8238
SCO,2003,84,Male,0,4934
SCO,2003,85,Male,0,4048
SCO,2003,86,Male,0,3834
SCO,2003,87,Male,0,3216
SCO,2003,88,Male,0,2930
SCO,2003,89,Male,1,2312
SCO,2003,90 & over,Male,0,5838
SCO,2004,16,Male,2288,33269
SCO,2004,17,Male,2448,32435
SCO,2004,18,Male,2505,32613
SCO,2004,19,Male,2303,33102
SCO,2004,20,Male,2077,32073
SCO,2004,21,Male,1947,32334
SCO,2004,22,Male,1919,32703
SCO,2004,23,Male,1842,34013
SCO,2004,24,Male,1735,33185
SCO,2004,25,Male,1533,31379
SCO,2004,26,Male,1364,28277
SCO,2004,27,Male,1272,27603
SCO,2004,28,Male,1260,29152
SCO,2004,29,Male,1286,29108
SCO,2004,30,Male,1152,29849
SCO,2004,31,Male,1122,31819
SCO,2004,32,Male,1133,33669
SCO,2004,33,Male,1099,35412
SCO,2004,34,Male,1063,35376
SCO,2004,35,Male,1051,36961
SCO,2004,36,Male,1021,37595
SCO,2004,37,Male,905,38985
SCO,2004,38,Male,857,38129
SCO,2004,39,Male,783,39790
SCO,2004,40,Male,793,39326
SCO,2004,41,Male,673,39316
SCO,2004,42,Male,638,39349
SCO,2004,43,Male,565,38308
SCO,2004,44,Male,517,37545
SCO,2004,45,Male,459,37039
SCO,2004,46,Male,408,36190
SCO,2004,47,Male,338,35539
SCO,2004,48,Male,299,34986
SCO,2004,49,Male,259,33511
SCO,2004,50,Male,227,33379
SCO,2004,51,Male,200,32816
SCO,2004,52,Male,170,31692
SCO,2004,53,Male,175,32418
SCO,2004,54,Male,145,32864
SCO,2004,55,Male,139,33898
SCO,2004,56,Male,145,35018
SCO,2004,57,Male,140,37939
SCO,2004,58,Male,107,29313
SCO,2004,59,Male,80,27833
SCO,2004,60,Male,72,28663
SCO,2004,61,Male,58,27423
SCO,2004,62,Male,48,25412
SCO,2004,63,Male,29,23702
SCO,2004,64,Male,37,24477
SCO,2004,65,Male,33,24168
SCO,2004,66,Male,20,23810
SCO,2004,67,Male,25,22644
SCO,2004,68,Male,24,22083
SCO,2004,69,Male,18,21288
SCO,2004,70,Male,19,20081
SCO,2004,71,Male,10,19204
SCO,2004,72,Male,8,18845
SCO,2004,73,Male,13,17962
SCO,2004,74,Male,7,16774
SCO,2004,75,Male,3,15784
SCO,2004,76,Male,5,14261
SCO,2004,77,Male,1,13467
SCO,2004,78,Male,2,12842
SCO,2004,79,Male,4,11489
SCO,2004,80,Male,2,10556
SCO,2004,81,Male,1,8934
SCO,2004,82,Male,0,8566
SCO,2004,83,Male,0,8199
SCO,2004,84,Male,0,7299
SCO,2004,85,Male,1,4321
SCO,2004,86,Male,0,3494
SCO,2004,87,Male,0,3233
SCO,2004,88,Male,0,2727
SCO,2004,89,Male,0,2431
SCO,2004,90 & over,Male,0,6037
SCO,2005,16,Male,2363,32158
SCO,2005,17,Male,2632,33176
SCO,2005,18,Male,2594,32475
SCO,2005,19,Male,2507,33818
SCO,2005,20,Male,2196,33988
SCO,2005,21,Male,2067,32769
SCO,2005,22,Male,1900,32725
SCO,2005,23,Male,1879,32763
SCO,2005,24,Male,1779,33947
SCO,2005,25,Male,1554,33124
SCO,2005,26,Male,1490,31345
SCO,2005,27,Male,1306,28581
SCO,2005,28,Male,1203,27777
SCO,2005,29,Male,1247,29356
SCO,2005,30,Male,1193,29409
SCO,2005,31,Male,1113,30127
SCO,2005,32,Male,1091,32114
SCO,2005,33,Male,1134,33911
SCO,2005,34,Male,1140,35664
SCO,2005,35,Male,1072,35526
SCO,2005,36,Male,1005,37133
SCO,2005,37,Male,966,37811
SCO,2005,38,Male,891,39120
SCO,2005,39,Male,899,38441
SCO,2005,40,Male,826,40014
SCO,2005,41,Male,706,39521
SCO,2005,42,Male,667,39515
SCO,2005,43,Male,621,39432
SCO,2005,44,Male,549,38475
SCO,2005,45,Male,492,37569
SCO,2005,46,Male,442,37049
SCO,2005,47,Male,404,36245
SCO,2005,48,Male,335,35565
SCO,2005,49,Male,287,35003
SCO,2005,50,Male,238,33482
SCO,2005,51,Male,201,33344
SCO,2005,52,Male,212,32786
SCO,2005,53,Male,175,31638
SCO,2005,54,Male,158,32309
SCO,2005,55,Male,140,32788
SCO,2005,56,Male,144,33806
SCO,2005,57,Male,144,34912
SCO,2005,58,Male,115,37734
SCO,2005,59,Male,101,29115
SCO,2005,60,Male,55,27600
SCO,2005,61,Male,60,28418
SCO,2005,62,Male,39,27097
SCO,2005,63,Male,51,25055
SCO,2005,64,Male,30,23339
SCO,2005,65,Male,33,24097
SCO,2005,66,Male,42,23756
SCO,2005,67,Male,15,23297
SCO,2005,68,Male,31,22102
SCO,2005,69,Male,19,21546
SCO,2005,70,Male,17,20740
SCO,2005,71,Male,9,19448
SCO,2005,72,Male,5,18532
SCO,2005,73,Male,6,18155
SCO,2005,74,Male,5,17179
SCO,2005,75,Male,2,15951
SCO,2005,76,Male,5,14994
SCO,2005,77,Male,1,13404
SCO,2005,78,Male,4,12619
SCO,2005,79,Male,0,11896
SCO,2005,80,Male,1,10571
SCO,2005,81,Male,0,9661
SCO,2005,82,Male,1,8075
SCO,2005,83,Male,0,7710
SCO,2005,84,Male,1,7260
SCO,2005,85,Male,1,6437
SCO,2005,86,Male,1,3743
SCO,2005,87,Male,0,2994
SCO,2005,88,Male,0,2686
SCO,2005,89,Male,0,2239
SCO,2005,90 & over,Male,0,6408
SCO,2006,16,Male,2372,32205
SCO,2006,17,Male,2656,32348
SCO,2006,18,Male,2779,33483
SCO,2006,19,Male,2561,33916
SCO,2006,20,Male,2424,34624
SCO,2006,21,Male,2181,34481
SCO,2006,22,Male,2134,32629
SCO,2006,23,Male,1975,32804
SCO,2006,24,Male,1840,33009
SCO,2006,25,Male,1809,33948
SCO,2006,26,Male,1585,32933
SCO,2006,27,Male,1509,31526
SCO,2006,28,Male,1375,28690
SCO,2006,29,Male,1218,27972
SCO,2006,30,Male,1266,29603
SCO,2006,31,Male,1212,29653
SCO,2006,32,Male,1157,30444
SCO,2006,33,Male,1109,32272
SCO,2006,34,Male,1159,34177
SCO,2006,35,Male,1104,35903
SCO,2006,36,Male,1056,35701
SCO,2006,37,Male,1056,37328
SCO,2006,38,Male,955,38084
SCO,2006,39,Male,899,39369
SCO,2006,40,Male,835,38622
SCO,2006,41,Male,800,40206
SCO,2006,42,Male,779,39635
SCO,2006,43,Male,689,39696
SCO,2006,44,Male,590,39537
SCO,2006,45,Male,547,38498
SCO,2006,46,Male,460,37505
SCO,2006,47,Male,379,37056
SCO,2006,48,Male,392,36238
SCO,2006,49,Male,347,35607
SCO,2006,50,Male,294,34878
SCO,2006,51,Male,258,33401
SCO,2006,52,Male,196,33218
SCO,2006,53,Male,211,32688
SCO,2006,54,Male,164,31532
SCO,2006,55,Male,156,32183
SCO,2006,56,Male,158,32649
SCO,2006,57,Male,131,33624
SCO,2006,58,Male,125,34687
SCO,2006,59,Male,113,37504
SCO,2006,60,Male,72,28922
SCO,2006,61,Male,62,27344
SCO,2006,62,Male,58,28129
SCO,2006,63,Male,60,26748
SCO,2006,64,Male,41,24659
SCO,2006,65,Male,36,22965
SCO,2006,66,Male,33,23641
SCO,2006,67,Male,33,23311
SCO,2006,68,Male,18,22742
SCO,2006,69,Male,18,21558
SCO,2006,70,Male,17,20962
SCO,2006,71,Male,9,20109
SCO,2006,72,Male,11,18782
SCO,2006,73,Male,9,17858
SCO,2006,74,Male,6,17475
SCO,2006,75,Male,1,16387
SCO,2006,76,Male,2,15156
SCO,2006,77,Male,1,14115
SCO,2006,78,Male,1,12524
SCO,2006,79,Male,1,11805
SCO,2006,80,Male,0,11005
SCO,2006,81,Male,1,9713
SCO,2006,82,Male,1,8777
SCO,2006,83,Male,0,7250
SCO,2006,84,Male,1,6873
SCO,2006,85,Male,2,6420
SCO,2006,86,Male,0,5651
SCO,2006,87,Male,0,3199
SCO,2006,88,Male,0,2477
SCO,2006,89,Male,0,2229
SCO,2006,90 & over,Male,1,6616
SCO,2007,16,Male,2114,33039
SCO,2007,17,Male,2326,32877
SCO,2007,18,Male,2342,32913
SCO,2007,19,Male,2382,35111
SCO,2007,20,Male,2164,34631
SCO,2007,21,Male,2073,34279
SCO,2007,22,Male,1941,34147
SCO,2007,23,Male,1734,33060
SCO,2007,24,Male,1700,33074
SCO,2007,25,Male,1603,33460
SCO,2007,26,Male,1532,34110
SCO,2007,27,Male,1447,33309
SCO,2007,28,Male,1303,31853
SCO,2007,29,Male,1190,29076
SCO,2007,30,Male,1103,28516
SCO,2007,31,Male,1091,30128
SCO,2007,32,Male,1082,30109
SCO,2007,33,Male,972,30881
SCO,2007,34,Male,1003,32728
SCO,2007,35,Male,945,34555
SCO,2007,36,Male,935,36299
SCO,2007,37,Male,901,35931
SCO,2007,38,Male,911,37613
SCO,2007,39,Male,864,38428
SCO,2007,40,Male,808,39599
SCO,2007,41,Male,729,38795
SCO,2007,42,Male,711,40444
SCO,2007,43,Male,626,39802
SCO,2007,44,Male,590,39808
SCO,2007,45,Male,538,39684
SCO,2007,46,Male,450,38539
SCO,2007,47,Male,384,37545
SCO,2007,48,Male,363,37151
SCO,2007,49,Male,360,36285
SCO,2007,50,Male,300,35624
SCO,2007,51,Male,243,34878
SCO,2007,52,Male,224,33401
SCO,2007,53,Male,183,33164
SCO,2007,54,Male,162,32577
SCO,2007,55,Male,117,31434
SCO,2007,56,Male,137,32092
SCO,2007,57,Male,118,32495
SCO,2007,58,Male,117,33458
SCO,2007,59,Male,91,34483
SCO,2007,60,Male,114,37278
SCO,2007,61,Male,56,28743
SCO,2007,62,Male,72,27007
SCO,2007,63,Male,48,27752
SCO,2007,64,Male,44,26444
SCO,2007,65,Male,34,24331
SCO,2007,66,Male,30,22551
SCO,2007,67,Male,23,23205
SCO,2007,68,Male,17,22865
SCO,2007,69,Male,16,22258
SCO,2007,70,Male,10,21005
SCO,2007,71,Male,11,20329
SCO,2007,72,Male,9,19487
SCO,2007,73,Male,11,18144
SCO,2007,74,Male,5,17208
SCO,2007,75,Male,4,16729
SCO,2007,76,Male,2,15628
SCO,2007,77,Male,2,14289
SCO,2007,78,Male,2,13302
SCO,2007,79,Male,4,11714
SCO,2007,80,Male,2,10938
SCO,2007,81,Male,0,10087
SCO,2007,82,Male,0,8876
SCO,2007,83,Male,1,7930
SCO,2007,84,Male,0,6510
SCO,2007,85,Male,0,6038
SCO,2007,86,Male,0,5596
SCO,2007,87,Male,1,4820
SCO,2007,88,Male,1,2707
SCO,2007,89,Male,0,2073
SCO,2007,90 & over,Male,0,6698
SCO,2008,16,Male,1659,33012
SCO,2008,17,Male,1853,32932
SCO,2008,18,Male,2008,33433
SCO,2008,19,Male,2038,34784
SCO,2008,20,Male,1974,36169
SCO,2008,21,Male,1872,34125
SCO,2008,22,Male,1784,34654
SCO,2008,23,Male,1558,34321
SCO,2008,24,Male,1488,33004
SCO,2008,25,Male,1517,33429
SCO,2008,26,Male,1503,33596
SCO,2008,27,Male,1397,34135
SCO,2008,28,Male,1334,33272
SCO,2008,29,Male,1278,32065
SCO,2008,30,Male,1178,29403
SCO,2008,31,Male,1052,28896
SCO,2008,32,Male,1034,30469
SCO,2008,33,Male,1050,30367
SCO,2008,34,Male,996,31229
SCO,2008,35,Male,930,33096
SCO,2008,36,Male,901,34939
SCO,2008,37,Male,975,36500
SCO,2008,38,Male,902,36220
SCO,2008,39,Male,830,37883
SCO,2008,40,Male,725,38626
SCO,2008,41,Male,744,39650
SCO,2008,42,Male,707,39037
SCO,2008,43,Male,630,40624
SCO,2008,44,Male,578,39914
SCO,2008,45,Male,537,39981
SCO,2008,46,Male,497,39682
SCO,2008,47,Male,430,38616
SCO,2008,48,Male,376,37582
SCO,2008,49,Male,325,37159
SCO,2008,50,Male,291,36270
SCO,2008,51,Male,257,35597
SCO,2008,52,Male,221,34763
SCO,2008,53,Male,210,33309
SCO,2008,54,Male,156,33065
SCO,2008,55,Male,155,32468
SCO,2008,56,Male,119,31318
SCO,2008,57,Male,115,31921
SCO,2008,58,Male,107,32237
SCO,2008,59,Male,108,33224
SCO,2008,60,Male,98,34222
SCO,2008,61,Male,96,37010
SCO,2008,62,Male,68,28481
SCO,2008,63,Male,45,26690
SCO,2008,64,Male,51,27380
SCO,2008,65,Male,46,26065
SCO,2008,66,Male,39,23918
SCO,2008,67,Male,31,22124
SCO,2008,68,Male,23,22748
SCO,2008,69,Male,15,22349
SCO,2008,70,Male,18,21718
SCO,2008,71,Male,19,20385
SCO,2008,72,Male,9,19676
SCO,2008,73,Male,14,18792
SCO,2008,74,Male,8,17470
SCO,2008,75,Male,3,16454
SCO,2008,76,Male,4,15944
SCO,2008,77,Male,2,14847
SCO,2008,78,Male,5,13422
SCO,2008,79,Male,1,12428
SCO,2008,80,Male,2,10943
SCO,2008,81,Male,1,10070
SCO,2008,82,Male,1,9206
SCO,2008,83,Male,1,7985
SCO,2008,84,Male,0,7114
SCO,2008,85,Male,0,5755
SCO,2008,86,Male,1,5267
SCO,2008,87,Male,0,4851
SCO,2008,88,Male,0,4094
SCO,2008,89,Male,0,2271
SCO,2008,90 & over,Male,0,6719
SCO,2009,16,Male,1462,32428
SCO,2009,17,Male,1748,34379
SCO,2009,18,Male,1938,34940
SCO,2009,19,Male,1946,34200
SCO,2009,20,Male,1865,34306
SCO,2009,21,Male,1945,35327
SCO,2009,22,Male,1798,34565
SCO,2009,23,Male,1698,34883
SCO,2009,24,Male,1556,34261
SCO,2009,25,Male,1550,33100
SCO,2009,26,Male,1475,33400
SCO,2009,27,Male,1461,33674
SCO,2009,28,Male,1377,34148
SCO,2009,29,Male,1269,33308
SCO,2009,30,Male,1225,32299
SCO,2009,31,Male,1093,29657
SCO,2009,32,Male,998,29053
SCO,2009,33,Male,1045,30641
SCO,2009,34,Male,1021,30623
SCO,2009,35,Male,941,31532
SCO,2009,36,Male,909,33418
SCO,2009,37,Male,889,35184
SCO,2009,38,Male,945,36690
SCO,2009,39,Male,865,36451
SCO,2009,40,Male,826,38019
SCO,2009,41,Male,749,38739
SCO,2009,42,Male,723,39695
SCO,2009,43,Male,675,39134
SCO,2009,44,Male,655,40702
SCO,2009,45,Male,547,39939
SCO,2009,46,Male,502,40036
SCO,2009,47,Male,479,39695
SCO,2009,48,Male,417,38602
SCO,2009,49,Male,376,37543
SCO,2009,50,Male,322,37132
SCO,2009,51,Male,296,36246
SCO,2009,52,Male,253,35551
SCO,2009,53,Male,216,34679
SCO,2009,54,Male,194,33175
SCO,2009,55,Male,164,32950
SCO,2009,56,Male,141,32336
SCO,2009,57,Male,125,31175
SCO,2009,58,Male,80,31686
SCO,2009,59,Male,100,32065
SCO,2009,60,Male,93,32961
SCO,2009,61,Male,81,33899
SCO,2009,62,Male,73,36658
SCO,2009,63,Male,64,28143
SCO,2009,64,Male,41,26298
SCO,2009,65,Male,47,27008
SCO,2009,66,Male,49,25596
SCO,2009,67,Male,29,23491
SCO,2009,68,Male,38,21684
SCO,2009,69,Male,19,22168
SCO,2009,70,Male,22,21725
SCO,2009,71,Male,20,21168
SCO,2009,72,Male,13,19770
SCO,2009,73,Male,11,19039
SCO,2009,74,Male,8,18099
SCO,2009,75,Male,7,16746
SCO,2009,76,Male,7,15714
SCO,2009,77,Male,5,15167
SCO,2009,78,Male,2,14043
SCO,2009,79,Male,1,12570
SCO,2009,80,Male,3,11590
SCO,2009,81,Male,2,10049
SCO,2009,82,Male,0,9272
SCO,2009,83,Male,0,8345
SCO,2009,84,Male,0,7186
SCO,2009,85,Male,1,6330
SCO,2009,86,Male,0,5036
SCO,2009,87,Male,0,4594
SCO,2009,88,Male,0,4153
SCO,2009,89,Male,0,3414
SCO,2009,90 & over,Male,0,6924
SCO,2010,16,Male,1023,32427
SCO,2010,17,Male,1336,32606
SCO,2010,18,Male,1626,35066
SCO,2010,19,Male,1654,36420
SCO,2010,20,Male,1591,35284
SCO,2010,21,Male,1473,35088
SCO,2010,22,Male,1595,35874
SCO,2010,23,Male,1461,34804
SCO,2010,24,Male,1386,34840
SCO,2010,25,Male,1289,34276
SCO,2010,26,Male,1210,33071
SCO,2010,27,Male,1136,33500
SCO,2010,28,Male,1154,33663
SCO,2010,29,Male,1156,33996
SCO,2010,30,Male,1054,33322
SCO,2010,31,Male,1023,32415
SCO,2010,32,Male,958,29709
SCO,2010,33,Male,858,29308
SCO,2010,34,Male,893,30933
SCO,2010,35,Male,796,30817
SCO,2010,36,Male,772,31774
SCO,2010,37,Male,722,33690
SCO,2010,38,Male,777,35483
SCO,2010,39,Male,745,36848
SCO,2010,40,Male,758,36570
SCO,2010,41,Male,671,38059
SCO,2010,42,Male,637,38787
SCO,2010,43,Male,571,39777
SCO,2010,44,Male,520,39211
SCO,2010,45,Male,518,40732
SCO,2010,46,Male,470,39948
SCO,2010,47,Male,402,40085
SCO,2010,48,Male,388,39718
SCO,2010,49,Male,320,38578
SCO,2010,50,Male,277,37477
SCO,2010,51,Male,250,37090
SCO,2010,52,Male,224,36161
SCO,2010,53,Male,199,35457
